"split","video_name","source_video","source_label","target_video","target_label"
"train","drone__M0101","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M0101\M0101.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M0101-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M0101.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M0101.json"
"high_risk","drone__M0201","C:\Users\12559\Desktop\yolo\dataset_split\high_risk\drone\M0201\M0201.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M0201-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M0201.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M0201.json"
"train","drone__M0206","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M0206\M0206.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M0206-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M0206.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M0206.json"
"eval","drone__M0207","C:\Users\12559\Desktop\yolo\dataset_split\eval\drone\M0207\M0207.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M0207-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M0207.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M0207.json"
"train","drone__M0209","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M0209\M0209.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M0209-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M0209.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M0209.json"
"train","drone__M0301","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M0301\M0301.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M0301-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M0301.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M0301.json"
"train","drone__M0401","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M0401\M0401.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M0401-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M0401.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M0401.json"
"train","drone__M0402","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M0402\M0402.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M0402-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M0402.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M0402.json"
"train","drone__M0604","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M0604\M0604.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M0604-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M0604.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M0604.json"
"eval","drone__M0605","C:\Users\12559\Desktop\yolo\dataset_split\eval\drone\M0605\M0605.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M0605-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M0605.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M0605.json"
"eval","drone__M0606","C:\Users\12559\Desktop\yolo\dataset_split\eval\drone\M0606\M0606.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M0606-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M0606.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M0606.json"
"high_risk","drone__M0704","C:\Users\12559\Desktop\yolo\dataset_split\high_risk\drone\M0704\M0704.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M0704-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M0704.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M0704.json"
"train","drone__M0802","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M0802\M0802.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M0802-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M0802.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M0802.json"
"high_risk","drone__M0902","C:\Users\12559\Desktop\yolo\dataset_split\high_risk\drone\M0902\M0902.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M0902-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M0902.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M0902.json"
"train","drone__M1001","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M1001\M1001.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M1001-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M1001.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M1001.json"
"train","drone__M1002","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M1002\M1002.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M1002-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M1002.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M1002.json"
"train","drone__M1003","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M1003\M1003.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M1003-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M1003.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M1003.json"
"high_risk","drone__M1004","C:\Users\12559\Desktop\yolo\dataset_split\high_risk\drone\M1004\M1004.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M1004-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M1004.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M1004.json"
"train","drone__M1007","C:\Users\12559\Desktop\yolo\dataset_split\train\drone\M1007\M1007.mp4","C:\Users\12559\Desktop\yolo\json_flat\drone__M1007-new-yolo.json","C:\Users\12559\Desktop\yolo\data\videos\drone__M1007.mp4","C:\Users\12559\Desktop\yolo\data\labels\drone__M1007.json"
